,yearmonth,count,class
419,1987-07-01,16,high
420,1987-08-01,13,high
421,1987-08-01,13,high
422,1987-09-01,6,high
423,1987-09-01,6,high
424,1987-10-01,12,high
425,1987-10-01,12,high
426,1987-11-01,14,high
427,1987-11-01,14,high
428,1987-12-01,13,high
429,1987-12-01,13,high
430,1988-01-01,11,high
431,1988-01-01,11,high
432,1988-02-01,16,high
433,1988-02-01,16,high
434,1988-03-01,10,high
435,1988-03-01,10,high
436,1988-04-01,10,high
437,1988-04-01,10,high
438,1988-05-01,11,high
439,1988-05-01,11,high
440,1988-06-01,13,high
441,1988-06-01,13,high
442,1988-07-01,16,high
443,1988-07-01,16,high
444,1988-08-01,14,high
445,1988-08-01,14,high
446,1988-09-01,14,high
447,1988-09-01,14,high
448,1988-10-01,12,high
449,1988-10-01,12,high
450,1988-11-01,11,high
451,1988-11-01,11,high
452,1988-12-01,8,high
453,1988-12-01,8,high
454,1989-01-01,15,high
455,1989-01-01,15,high
456,1989-02-01,10,high
457,1989-02-01,10,high
458,1989-03-01,10,high
459,1989-03-01,10,high
460,1989-04-01,12,high
461,1989-04-01,12,high
462,1989-05-01,12,high
463,1989-05-01,12,high
464,1989-06-01,11,high
465,1989-06-01,11,high
466,1989-07-01,4,high
467,1989-07-01,4,high
468,1989-08-01,14,high
469,1989-08-01,14,high
470,1989-09-01,15,high
471,1989-09-01,15,high
472,1989-10-01,12,high
473,1989-10-01,12,high
474,1989-11-01,10,high
475,1989-11-01,10,high
476,1989-12-01,12,high
477,1989-12-01,12,high
478,1990-01-01,13,high
479,1990-01-01,13,high
480,1990-02-01,11,high
481,1990-02-01,11,high
482,1990-03-01,16,high
483,1990-03-01,16,high
484,1990-04-01,16,high
485,1990-04-01,16,high
486,1990-05-01,9,high
487,1990-05-01,9,high
488,1990-06-01,10,high
489,1990-06-01,10,high
490,1990-07-01,11,high
491,1990-07-01,11,high
492,1990-08-01,13,high
493,1990-08-01,13,high
494,1990-09-01,13,high
495,1990-09-01,13,high
496,1990-10-01,7,high
497,1990-10-01,7,high
498,1990-11-01,15,high
499,1990-11-01,15,high
500,1990-12-01,11,high
501,1990-12-01,11,high
502,1991-01-01,12,high
503,1991-01-01,12,high
504,1991-02-01,17,high
505,1991-02-01,17,high
506,1991-03-01,9,high
507,1991-03-01,9,high
508,1991-04-01,12,high
509,1991-04-01,12,high
510,1991-05-01,10,high
511,1991-05-01,10,high
512,1991-06-01,13,high
513,1991-06-01,13,high
514,1991-07-01,11,high
515,1991-07-01,11,high
516,1991-08-01,13,high
517,1991-08-01,13,high
518,1991-09-01,11,high
519,1991-09-01,11,high
520,1991-10-01,16,high
521,1991-10-01,16,high
522,1991-11-01,15,high
523,1991-11-01,15,high
524,1991-12-01,6,high
525,1991-12-01,6,high
526,1992-01-01,9,high
527,1992-01-01,9,high
528,1992-02-01,12,high
529,1992-02-01,12,high
530,1992-03-01,8,high
531,1992-03-01,8,high
532,1992-04-01,14,high
533,1992-04-01,14,high
534,1992-05-01,9,high
535,1992-05-01,9,high
536,1992-06-01,14,high
537,1992-06-01,14,high
538,1992-07-01,10,high
539,1992-07-01,10,high
540,1992-08-01,9,high
541,1992-08-01,9,high
542,1992-09-01,13,high
543,1992-09-01,13,high
544,1992-10-01,14,high
545,1992-10-01,14,high
546,1992-11-01,16,high
547,1992-11-01,16,high
548,1992-12-01,16,high
549,1992-12-01,16,high
550,1993-01-01,13,high
551,1993-01-01,13,high
552,1993-02-01,12,high
553,1993-02-01,12,high
554,1993-03-01,12,high
555,1993-03-01,12,high
556,1993-04-01,13,high
557,1993-04-01,13,high
558,1993-05-01,16,high
559,1993-05-01,16,high
560,1993-06-01,11,high
561,1993-06-01,11,high
562,1993-07-01,7,high
563,1993-07-01,7,high
564,1993-08-01,15,high
565,1993-08-01,15,high
566,1993-09-01,17,high
567,1993-09-01,17,high
568,1993-10-01,14,high
569,1993-10-01,14,high
570,1993-11-01,13,high
571,1993-11-01,13,high
572,1993-12-01,14,high
573,1993-12-01,14,high
574,1994-01-01,16,high
575,1994-01-01,16,high
576,1994-02-01,10,high
577,1994-02-01,10,high
578,1994-03-01,12,high
579,1994-03-01,12,high
580,1994-04-01,15,high
581,1994-04-01,15,high
582,1994-05-01,13,high
583,1994-05-01,13,high
584,1994-06-01,13,high
585,1994-06-01,13,high
586,1994-07-01,12,high
587,1994-07-01,12,high
588,1994-08-01,14,high
589,1994-08-01,14,high
590,1994-09-01,9,high
591,1994-09-01,9,high
592,1994-10-01,11,high
593,1994-10-01,11,high
594,1994-11-01,16,high
595,1994-11-01,16,high
596,1994-12-01,11,high
597,1994-12-01,11,high
598,1995-01-01,16,high
599,1995-01-01,16,high
600,1995-02-01,10,high
601,1995-02-01,10,high
602,1995-03-01,13,high
603,1995-03-01,13,high
604,1995-04-01,11,high
605,1995-04-01,11,high
606,1995-05-01,14,high
607,1995-05-01,14,high
608,1995-06-01,12,high
609,1995-06-01,12,high
610,1995-07-01,8,high
611,1995-07-01,8,high
612,1995-08-01,14,high
613,1995-08-01,14,high
614,1995-09-01,12,high
615,1995-09-01,12,high
616,1995-10-01,19,high
617,1995-10-01,19,high
618,1995-11-01,12,high
619,1995-11-01,12,high
620,1995-12-01,11,high
621,1995-12-01,11,high
622,1996-01-01,7,high
623,1996-01-01,7,high
624,1996-02-01,13,high
625,1996-02-01,13,high
626,1996-03-01,12,high
627,1996-03-01,12,high
628,1996-04-01,16,high
629,1996-04-01,16,high
630,1996-05-01,16,high
631,1996-05-01,16,high
632,1996-06-01,12,high
633,1996-06-01,12,high
634,1996-07-01,16,high
635,1996-07-01,16,high
636,1996-08-01,13,high
637,1996-08-01,13,high
638,1996-09-01,24,high
639,1996-09-01,24,high
640,1996-10-01,20,high
641,1996-10-01,20,high
642,1996-11-01,18,high
643,1996-11-01,18,high
644,1996-12-01,16,high
645,1996-12-01,16,high
646,1997-01-01,18,high
647,1997-01-01,18,high
648,1997-02-01,15,high
649,1997-02-01,15,high
650,1997-03-01,15,high
651,1997-03-01,15,high
652,1997-04-01,18,high
653,1997-04-01,18,high
654,1997-05-01,9,high
655,1997-05-01,9,high
656,1997-06-01,13,high
657,1997-06-01,13,high
658,1997-07-01,18,high
659,1997-07-01,18,high
660,1997-08-01,14,high
661,1997-08-01,14,high
662,1997-09-01,18,high
663,1997-09-01,18,high
664,1997-10-01,17,high
665,1997-10-01,17,high
666,1997-11-01,17,high
667,1997-11-01,17,high
668,1997-12-01,12,high
669,1997-12-01,12,high
670,1998-01-01,6,high
671,1998-01-01,6,high
672,1998-02-01,21,high
673,1998-02-01,21,high
674,1998-03-01,17,high
675,1998-03-01,17,high
676,1998-04-01,14,high
677,1998-04-01,14,high
678,1998-05-01,21,high
679,1998-05-01,21,high
680,1998-06-01,13,high
681,1998-06-01,13,high
682,1998-07-01,15,high
683,1998-07-01,15,high
684,1998-08-01,17,high
685,1998-08-01,17,high
686,1998-09-01,21,high
687,1998-09-01,21,high
688,1998-10-01,15,high
689,1998-10-01,15,high
690,1998-11-01,20,high
691,1998-11-01,20,high
692,1998-12-01,14,high
693,1998-12-01,14,high
694,1999-01-01,14,high
695,1999-01-01,14,high
696,1999-02-01,14,high
697,1999-02-01,14,high
698,1999-03-01,10,high
699,1999-03-01,10,high
700,1999-04-01,18,high
701,1999-04-01,18,high
702,1999-05-01,12,high
703,1999-05-01,12,high
704,1999-06-01,15,high
705,1999-06-01,15,high
706,1999-07-01,12,high
707,1999-07-01,12,high
708,1999-08-01,20,high
709,1999-08-01,20,high
710,1999-09-01,13,high
711,1999-09-01,13,high
712,1999-10-01,14,high
713,1999-10-01,14,high
714,1999-11-01,10,high
715,1999-11-01,10,high
716,1999-12-01,14,high
717,1999-12-01,14,high
718,2000-01-01,15,high
719,2000-01-01,15,high
720,2000-02-01,10,high
721,2000-02-01,10,high
722,2000-03-01,16,high
723,2000-03-01,16,high
724,2000-04-01,14,high
725,2000-04-01,14,high
726,2000-05-01,15,high
727,2000-05-01,15,high
728,2000-06-01,24,high
729,2000-06-01,24,high
730,2000-07-01,13,high
731,2000-07-01,13,high
732,2000-08-01,17,high
733,2000-08-01,17,high
734,2000-09-01,16,high
735,2000-09-01,16,high
736,2000-10-01,27,high
737,2000-10-01,27,high
738,2000-11-01,14,high
739,2000-11-01,14,high
740,2000-12-01,18,high
741,2000-12-01,18,high
742,2001-01-01,16,high
743,2001-01-01,16,high
744,2001-02-01,17,high
745,2001-02-01,17,high
746,2001-03-01,17,high
747,2001-03-01,17,high
748,2001-04-01,14,high
749,2001-04-01,14,high
750,2001-05-01,18,high
751,2001-05-01,18,high
752,2001-06-01,14,high
753,2001-06-01,14,high
754,2001-07-01,21,high
755,2001-07-01,21,high
756,2001-08-01,16,high
757,2001-08-01,16,high
758,2001-09-01,11,high
759,2001-09-01,11,high
760,2001-10-01,12,high
761,2001-10-01,12,high
762,2001-11-01,15,high
763,2001-11-01,15,high
764,2001-12-01,24,high
765,2001-12-01,24,high
766,2002-01-01,26,high
767,2002-01-01,26,high
768,2002-02-01,14,high
769,2002-02-01,14,high
770,2002-03-01,15,high
771,2002-03-01,15,high
772,2002-04-01,18,high
773,2002-04-01,18,high
774,2002-05-01,19,high
775,2002-05-01,19,high
776,2002-06-01,19,high
777,2002-06-01,19,high
778,2002-07-01,18,high
779,2002-07-01,18,high
780,2002-08-01,11,high
781,2002-08-01,11,high
782,2002-09-01,16,high
783,2002-09-01,16,high
784,2002-10-01,17,high
785,2002-10-01,17,high
786,2002-11-01,12,high
787,2002-11-01,12,high
788,2002-12-01,21,high
789,2002-12-01,21,high
790,2003-01-01,21,high
791,2003-01-01,21,high
792,2003-02-01,9,high
793,2003-02-01,9,high
794,2003-03-01,14,high
795,2003-03-01,14,high
796,2003-04-01,14,high
797,2003-04-01,14,high
798,2003-05-01,15,high
799,2003-05-01,15,high
800,2003-06-01,17,high
801,2003-06-01,17,high
802,2003-07-01,16,high
803,2003-07-01,16,high
804,2003-08-01,14,high
805,2003-08-01,14,high
806,2003-09-01,14,high
807,2003-09-01,14,high
808,2003-10-01,14,high
809,2003-10-01,14,high
810,2003-11-01,16,high
811,2003-11-01,16,high
812,2003-12-01,16,high
813,2003-12-01,16,high
814,2004-01-01,20,high
815,2004-01-01,20,high
816,2004-02-01,14,high
817,2004-02-01,14,high
818,2004-03-01,23,high
819,2004-03-01,23,high
820,2004-04-01,17,high
821,2004-04-01,17,high
822,2004-05-01,17,high
823,2004-05-01,17,high
824,2004-06-01,17,high
825,2004-06-01,17,high
826,2004-07-01,19,high
827,2004-07-01,19,high
828,2004-08-01,18,high
829,2004-08-01,18,high
830,2004-09-01,24,high
831,2004-09-01,24,high
832,2004-10-01,20,high
833,2004-10-01,20,high
834,2004-11-01,9,high
835,2004-11-01,9,high
836,2004-12-01,23,high
837,2004-12-01,23,high
838,2005-01-01,21,high
839,2005-01-01,21,high
840,2005-02-01,16,high
841,2005-02-01,16,high
842,2005-03-01,14,high
843,2005-03-01,14,high
844,2005-04-01,20,high
845,2005-04-01,20,high
846,2005-05-01,17,high
847,2005-05-01,17,high
848,2005-06-01,15,high
849,2005-06-01,15,high
850,2005-07-01,24,high
851,2005-07-01,24,high
852,2005-08-01,18,high
853,2005-08-01,18,high
854,2005-09-01,18,high
855,2005-09-01,18,high
856,2005-10-01,21,high
857,2005-10-01,21,high
858,2005-11-01,21,high
859,2005-11-01,21,high
860,2005-12-01,16,high
861,2005-12-01,16,high
862,2006-01-01,18,high
863,2006-01-01,18,high
864,2006-02-01,22,high
865,2006-02-01,22,high
866,2006-03-01,14,high
867,2006-03-01,14,high
868,2006-04-01,15,high
869,2006-04-01,15,high
870,2006-05-01,17,high
871,2006-05-01,17,high
872,2006-06-01,12,high
873,2006-06-01,12,high
874,2006-07-01,15,high
875,2006-07-01,15,high
876,2006-08-01,17,high
877,2006-08-01,17,high
878,2006-09-01,18,high
879,2006-09-01,18,high
880,2006-10-01,25,high
881,2006-10-01,25,high
882,2006-11-01,24,high
883,2006-11-01,24,high
884,2006-12-01,16,high
885,2006-12-01,16,high
886,2007-01-01,14,high
887,2007-01-01,14,high
888,2007-02-01,17,high
889,2007-02-01,17,high
890,2007-03-01,13,high
891,2007-03-01,13,high
892,2007-04-01,25,high
893,2007-04-01,25,high
894,2007-05-01,20,high
895,2007-05-01,20,high
896,2007-06-01,21,high
897,2007-06-01,21,high
898,2007-07-01,26,high
899,2007-07-01,26,high
900,2007-08-01,26,high
901,2007-08-01,26,high
902,2007-09-01,20,high
903,2007-09-01,20,high
904,2007-10-01,11,high
905,2007-10-01,11,high
906,2007-11-01,23,high
907,2007-11-01,23,high
908,2007-12-01,15,high
909,2007-12-01,15,high
910,2008-01-01,19,high
911,2008-01-01,19,high
912,2008-02-01,16,high
